0.000000000000000000e+00 9.145603391848877717e-02
5.000000000000000278e-02 7.510694227138386969e-01
1.000000000000000056e-01 6.669951383239240972e-01
1.500000000000000222e-01 1.079550818011764335e+00
2.000000000000000111e-01 1.358135068895490960e+00
2.500000000000000000e-01 1.382681167849497683e+00
3.000000000000000444e-01 1.331570128487948645e+00
3.500000000000000333e-01 1.043435083128472662e+00
4.000000000000000222e-01 1.018502315779662437e+00
4.500000000000000111e-01 4.920368858486855457e-01
5.000000000000000000e-01 1.430933654927990517e-01
5.500000000000000444e-01 -1.229953315040354100e-01
6.000000000000000888e-01 -3.251745729320391076e-01
6.500000000000000222e-01 -7.181972448934246245e-01
7.000000000000000666e-01 -6.840523673038090280e-01
7.500000000000000000e-01 -8.931379597988713392e-01
8.000000000000000444e-01 -8.623941393445450077e-01
8.500000000000000888e-01 -3.877313197805652978e-01
9.000000000000000222e-01 -3.276871269421997024e-01
9.500000000000000666e-01 1.487229624580849174e-02
